Hash Implementation,chunk,lf 0.1 valid,lf 0.1 empty,lf 0.3 valid,lf 0.3 empty,lf 0.5 valid,lf 0.5 empty,lf 0.7 valid,lf 0.7 empty,lf 0.9 valid,lf 0.9 empty
Linear Probing,0,13,88,35,66,50,51,64,37,83,18
Linear Probing,1,16,85,36,65,58,43,80,21,98,3
Linear Probing,2,12,89,32,69,56,45,77,24,91,10
Linear Probing,3,10,91,31,70,44,57,70,31,86,15
Linear Probing,4,10,91,29,72,52,49,71,30,82,19
Linear Probing,5,9,92,32,69,53,48,65,36,83,18
Linear Probing,6,13,88,35,66,51,50,76,25,96,5
Linear Probing,7,14,87,33,68,56,45,77,24,98,3
Linear Probing,8,7,94,32,69,48,53,70,31,99,2
Linear Probing,9,7,94,26,75,47,54,66,35,81,20
Linear Probing,10,6,95,23,78,42,59,65,36,82,19
Linear Probing,11,10,91,23,78,41,60,64,37,85,16
Linear Probing,12,13,88,33,68,52,49,76,25,94,7
Linear Probing,13,6,95,28,73,42,59,61,40,85,16
Linear Probing,14,11,90,31,70,63,38,87,14,97,4
Linear Probing,15,6,95,22,79,42,59,57,44,89,12
Linear Probing,16,6,95,40,61,53,48,63,38,86,15
Linear Probing,17,7,94,25,76,48,53,63,38,79,22
Linear Probing,18,11,90,25,76,41,60,57,44,81,20
Linear Probing,19,10,91,38,63,59,42,78,23,99,2
Linear Probing,20,8,93,23,78,42,59,63,38,79,22
Linear Probing,21,11,90,27,74,42,59,70,31,84,17
Linear Probing,22,9,92,31,70,62,39,81,20,100,1
Linear Probing,23,8,93,27,74,46,55,69,32,86,15
Linear Probing,24,8,93,25,76,43,58,58,43,71,30
Linear Probing,25,13,88,32,69,63,38,84,17,101,0
Linear Probing,26,13,88,36,65,52,49,73,28,94,7
Linear Probing,27,10,91,28,73,51,50,72,29,96,5
Linear Probing,28,6,95,22,79,46,55,63,38,92,9
Linear Probing,29,15,86,31,70,53,48,75,26,97,4
Linear Probing,30,13,88,31,70,43,58,69,32,94,7
Linear Probing,31,17,84,35,66,59,42,75,26,101,0
Linear Probing,32,9,92,25,76,40,61,60,41,93,8
Linear Probing,33,8,93,32,69,55,46,73,28,94,7
Linear Probing,34,12,89,29,72,48,53,67,34,89,12
Linear Probing,35,13,88,32,69,50,51,67,34,94,7
Linear Probing,36,3,98,28,73,56,45,69,32,89,12
Linear Probing,37,9,92,29,72,51,50,73,28,91,10
Linear Probing,38,8,93,22,79,48,53,74,27,88,13
Linear Probing,39,10,91,27,74,53,48,84,17,101,0
Linear Probing,40,7,94,30,71,50,51,73,28,88,13
Linear Probing,41,11,90,34,67,54,47,76,25,99,2
Linear Probing,42,8,93,27,74,44,57,65,36,87,14
Linear Probing,43,11,90,30,71,49,52,66,35,90,11
Linear Probing,44,7,94,29,72,48,53,75,26,90,11
Linear Probing,45,7,94,29,72,58,43,75,26,93,8
Linear Probing,46,8,93,27,74,47,54,75,26,91,10
Linear Probing,47,12,89,31,70,49,52,78,23,100,1
Linear Probing,48,15,86,36,65,64,37,83,18,101,0
Linear Probing,49,14,87,30,71,49,52,62,39,91,10
Linear Probing,50,14,87,37,64,52,49,73,28,93,8
Linear Probing,51,8,93,28,73,45,56,67,34,91,10
Linear Probing,52,12,89,34,67,57,44,74,27,98,3
Linear Probing,53,13,88,27,74,55,46,78,23,95,6
Linear Probing,54,11,90,37,64,55,46,79,22,101,0
Linear Probing,55,10,91,37,64,47,54,61,40,77,24
Linear Probing,56,13,88,34,67,52,49,76,25,89,12
Linear Probing,57,12,89,37,64,56,45,76,25,97,4
Linear Probing,58,11,90,25,76,45,56,59,42,79,22
Linear Probing,59,13,88,32,69,40,61,65,36,83,18
Linear Probing,60,14,87,34,67,44,57,65,36,93,8
Linear Probing,61,7,94,28,73,49,52,68,33,85,16
Linear Probing,62,10,91,27,74,41,60,58,43,82,19
Linear Probing,63,10,91,30,71,57,44,77,24,99,2
Linear Probing,64,6,95,26,75,45,56,74,27,92,9
Linear Probing,65,11,90,35,66,55,46,78,23,95,6
Linear Probing,66,11,90,30,71,51,50,74,27,90,11
Linear Probing,67,16,85,40,61,62,39,85,16,98,3
Linear Probing,68,6,95,20,81,38,63,58,43,78,23
Linear Probing,69,15,86,34,67,61,40,79,22,99,2
Linear Probing,70,8,93,22,79,47,54,61,40,86,15
Linear Probing,71,8,93,30,71,44,57,62,39,87,14
Linear Probing,72,14,87,37,64,55,46,75,26,100,1
Linear Probing,73,9,92,38,63,54,47,78,23,96,5
Linear Probing,74,5,96,28,73,51,50,79,22,101,0
Linear Probing,75,11,90,28,73,47,54,72,29,96,5
Linear Probing,76,11,90,25,76,46,55,64,37,80,21
Linear Probing,77,15,86,32,69,48,53,58,43,84,17
Linear Probing,78,10,91,36,65,55,46,67,34,94,7
Linear Probing,79,9,92,23,78,39,62,64,37,98,3
Linear Probing,80,7,94,30,71,48,53,74,27,92,9
Linear Probing,81,11,90,37,64,54,47,81,20,101,0
Linear Probing,82,13,88,30,71,53,48,67,34,87,14
Linear Probing,83,12,89,36,65,51,50,72,29,84,17
Linear Probing,84,10,91,23,78,45,56,67,34,95,6
Linear Probing,85,6,95,23,78,44,57,64,37,83,18
Linear Probing,86,15,86,37,64,56,45,74,27,97,4
Linear Probing,87,6,95,22,79,51,50,67,34,89,12
Linear Probing,88,4,97,25,76,49,52,66,35,92,9
Linear Probing,89,7,94,30,71,57,44,80,21,98,3
Linear Probing,90,14,87,31,70,52,49,70,31,86,15
Linear Probing,91,12,89,32,69,54,47,76,25,87,14
Linear Probing,92,10,91,38,63,60,41,74,27,100,1
Linear Probing,93,9,92,32,69,55,46,70,31,85,16
Linear Probing,94,10,91,34,67,57,44,85,16,95,6
Linear Probing,95,6,95,29,72,48,53,66,35,85,16
Linear Probing,96,9,92,31,70,58,43,74,27,99,2
Linear Probing,97,9,92,32,69,53,48,71,30,88,13
Linear Probing,98,7,94,34,67,51,50,66,35,84,17
Linear Probing,99,1,9,2,8,3,7,5,5,8,2
Quadratic Probing,0,13,88,35,66,49,52,63,38,86,15
Quadratic Probing,1,16,85,36,65,59,42,80,21,93,8
Quadratic Probing,2,12,89,32,69,56,45,77,24,94,7
Quadratic Probing,3,10,91,31,70,44,57,70,31,87,14
Quadratic Probing,4,10,91,29,72,51,50,69,32,81,20
Quadratic Probing,5,9,92,32,69,54,47,65,36,83,18
Quadratic Probing,6,13,88,35,66,51,50,76,25,93,8
Quadratic Probing,7,14,87,33,68,56,45,78,23,96,5
Quadratic Probing,8,7,94,32,69,48,53,72,29,96,5
Quadratic Probing,9,7,94,26,75,47,54,65,36,85,16
Quadratic Probing,10,6,95,23,78,42,59,66,35,88,13
Quadratic Probing,11,10,91,23,78,41,60,64,37,84,17
Quadratic Probing,12,13,88,33,68,52,49,73,28,91,10
Quadratic Probing,13,6,95,28,73,42,59,64,37,87,14
Quadratic Probing,14,11,90,31,70,62,39,81,20,93,8
Quadratic Probing,15,6,95,22,79,43,58,63,38,92,9
Quadratic Probing,16,6,95,40,61,53,48,63,38,88,13
Quadratic Probing,17,7,94,25,76,48,53,63,38,82,19
Quadratic Probing,18,11,90,25,76,41,60,56,45,81,20
Quadratic Probing,19,10,91,38,63,59,42,79,22,94,7
Quadratic Probing,20,8,93,23,78,42,59,62,39,81,20
Quadratic Probing,21,11,90,27,74,42,59,71,30,85,16
Quadratic Probing,22,9,92,31,70,62,39,81,20,99,2
Quadratic Probing,23,8,93,26,75,45,56,68,33,87,14
Quadratic Probing,24,8,93,26,75,44,57,59,42,73,28
Quadratic Probing,25,13,88,32,69,63,38,83,18,98,3
Quadratic Probing,26,13,88,36,65,52,49,74,27,92,9
Quadratic Probing,27,10,91,28,73,51,50,72,29,94,7
Quadratic Probing,28,6,95,22,79,46,55,63,38,88,13
Quadratic Probing,29,15,86,31,70,53,48,74,27,98,3
Quadratic Probing,30,13,88,31,70,42,59,67,34,94,7
Quadratic Probing,31,17,84,35,66,60,41,78,23,99,2
Quadratic Probing,32,9,92,25,76,40,61,60,41,92,9
Quadratic Probing,33,8,93,32,69,55,46,72,29,91,10
Quadratic Probing,34,12,89,29,72,48,53,67,34,96,5
Quadratic Probing,35,13,88,32,69,50,51,66,35,92,9
Quadratic Probing,36,3,98,28,73,56,45,70,31,92,9
Quadratic Probing,37,9,92,29,72,51,50,74,27,91,10
Quadratic Probing,38,8,93,22,79,48,53,74,27,90,11
Quadratic Probing,39,10,91,27,74,53,48,84,17,96,5
Quadratic Probing,40,7,94,30,71,49,52,70,31,91,10
Quadratic Probing,41,11,90,34,67,55,46,77,24,95,6
Quadratic Probing,42,8,93,27,74,44,57,67,34,92,9
Quadratic Probing,43,11,90,30,71,49,52,66,35,93,8
Quadratic Probing,44,7,94,29,72,48,53,74,27,85,16
Quadratic Probing,45,7,94,29,72,58,43,74,27,94,7
Quadratic Probing,46,8,93,27,74,47,54,77,24,94,7
Quadratic Probing,47,12,89,31,70,49,52,78,23,96,5
Quadratic Probing,48,15,86,36,65,64,37,81,20,92,9
Quadratic Probing,49,14,87,30,71,49,52,62,39,93,8
Quadratic Probing,50,14,87,37,64,51,50,73,28,96,5
Quadratic Probing,51,8,93,28,73,46,55,67,34,93,8
Quadratic Probing,52,12,89,34,67,57,44,76,25,97,4
Quadratic Probing,53,13,88,27,74,55,46,76,25,93,8
Quadratic Probing,54,11,90,37,64,55,46,79,22,97,4
Quadratic Probing,55,10,91,37,64,47,54,63,38,89,12
Quadratic Probing,56,13,88,34,67,52,49,75,26,88,13
Quadratic Probing,57,12,89,37,64,56,45,77,24,94,7
Quadratic Probing,58,11,90,25,76,45,56,59,42,84,17
Quadratic Probing,59,13,88,32,69,40,61,64,37,84,17
Quadratic Probing,60,14,87,34,67,44,57,65,36,94,7
Quadratic Probing,61,7,94,28,73,49,52,68,33,86,15
Quadratic Probing,62,10,91,27,74,41,60,59,42,84,17
Quadratic Probing,63,10,91,30,71,57,44,75,26,88,13
Quadratic Probing,64,6,95,26,75,44,57,73,28,95,6
Quadratic Probing,65,11,90,35,66,56,45,78,23,93,8
Quadratic Probing,66,11,90,30,71,51,50,75,26,88,13
Quadratic Probing,67,16,85,40,61,62,39,86,15,96,5
Quadratic Probing,68,6,95,20,81,38,63,58,43,87,14
Quadratic Probing,69,15,86,34,67,61,40,77,24,93,8
Quadratic Probing,70,8,93,22,79,47,54,63,38,89,12
Quadratic Probing,71,8,93,30,71,44,57,63,38,89,12
Quadratic Probing,72,14,87,37,64,55,46,75,26,96,5
Quadratic Probing,73,9,92,38,63,54,47,77,24,96,5
Quadratic Probing,74,5,96,28,73,50,51,77,24,99,2
Quadratic Probing,75,11,90,28,73,48,53,75,26,93,8
Quadratic Probing,76,11,90,25,76,46,55,64,37,89,12
Quadratic Probing,77,15,86,32,69,48,53,58,43,84,17
Quadratic Probing,78,10,91,36,65,55,46,67,34,93,8
Quadratic Probing,79,9,92,23,78,39,62,64,37,94,7
Quadratic Probing,80,7,94,30,71,48,53,74,27,89,12
Quadratic Probing,81,11,90,37,64,54,47,80,21,99,2
Quadratic Probing,82,13,88,30,71,53,48,67,34,93,8
Quadratic Probing,83,12,89,36,65,51,50,69,32,86,15
Quadratic Probing,84,10,91,23,78,45,56,70,31,91,10
Quadratic Probing,85,6,95,23,78,43,58,65,36,89,12
Quadratic Probing,86,15,86,36,65,55,46,72,29,95,6
Quadratic Probing,87,6,95,23,78,53,48,69,32,92,9
Quadratic Probing,88,4,97,25,76,49,52,66,35,87,14
Quadratic Probing,89,7,94,30,71,57,44,78,23,94,7
Quadratic Probing,90,14,87,31,70,49,52,69,32,91,10
Quadratic Probing,91,12,89,32,69,57,44,76,25,90,11
Quadratic Probing,92,10,91,38,63,60,41,76,25,96,5
Quadratic Probing,93,9,92,32,69,55,46,71,30,88,13
Quadratic Probing,94,10,91,34,67,57,44,84,17,95,6
Quadratic Probing,95,6,95,29,72,47,54,65,36,85,16
Quadratic Probing,96,9,92,31,70,59,42,76,25,97,4
Quadratic Probing,97,9,92,32,69,52,49,70,31,91,10
Quadratic Probing,98,7,94,34,67,52,49,66,35,85,16
Quadratic Probing,99,1,9,2,8,3,7,6,4,8,2
LinkedList,0,13,88,35,71,50,60,64,53,84,40
LinkedList,1,16,86,36,68,58,53,80,41,97,34
LinkedList,2,12,89,32,75,56,57,77,46,95,39
LinkedList,3,10,92,31,73,44,62,70,43,83,35
LinkedList,4,10,92,29,73,52,61,71,48,83,39
LinkedList,5,9,92,32,72,53,56,66,49,82,38
LinkedList,6,13,88,35,69,52,60,76,48,98,37
LinkedList,7,14,87,33,70,55,56,76,47,102,34
LinkedList,8,7,94,32,73,48,61,70,46,92,36
LinkedList,9,7,94,26,77,47,65,66,53,83,44
LinkedList,10,6,95,23,81,42,64,65,51,81,40
LinkedList,11,10,92,23,79,41,68,64,54,85,43
LinkedList,12,13,89,33,70,52,56,76,46,101,31
LinkedList,13,6,95,28,75,42,67,61,51,77,41
LinkedList,14,11,91,31,77,63,56,87,44,110,32
LinkedList,15,6,95,22,81,43,66,58,56,77,46
LinkedList,16,6,95,40,66,52,58,63,51,87,39
LinkedList,17,7,94,25,76,48,57,62,48,77,39
LinkedList,18,11,90,25,79,41,67,58,56,86,41
LinkedList,19,10,91,38,70,59,57,77,49,94,39
LinkedList,20,8,93,23,79,42,62,63,49,80,39
LinkedList,21,11,91,27,79,42,67,70,47,83,41
LinkedList,22,9,94,31,73,62,52,81,42,106,31
LinkedList,23,8,93,27,76,46,61,69,47,80,39
LinkedList,24,8,93,25,77,43,64,58,55,71,48
LinkedList,25,13,90,32,75,63,48,85,37,105,27
LinkedList,26,13,89,36,71,53,60,73,49,91,40
LinkedList,27,10,91,28,76,50,62,71,46,97,29
LinkedList,28,6,95,22,81,46,62,63,54,90,40
LinkedList,29,15,87,31,73,53,57,75,40,99,30
LinkedList,30,13,89,31,74,43,66,70,51,104,35
LinkedList,31,17,84,35,68,59,54,74,46,98,34
LinkedList,32,9,93,25,79,41,66,61,57,85,42
LinkedList,33,8,94,32,72,54,57,72,45,94,36
LinkedList,34,12,90,29,75,49,61,69,48,97,32
LinkedList,35,13,89,32,75,49,63,65,54,89,39
LinkedList,36,3,98,28,75,56,53,70,44,86,34
LinkedList,37,9,92,29,74,51,62,72,49,90,36
LinkedList,38,8,93,22,81,48,62,75,45,90,38
LinkedList,39,10,91,27,78,53,60,84,44,102,31
LinkedList,40,7,94,30,74,50,59,74,45,91,39
LinkedList,41,11,90,34,72,54,57,74,48,93,39
LinkedList,42,8,93,27,75,44,62,65,47,87,35
LinkedList,43,11,90,30,75,49,59,67,48,91,36
LinkedList,44,7,94,29,75,48,61,75,44,91,37
LinkedList,45,7,94,29,73,58,52,74,43,94,30
LinkedList,46,8,93,27,74,47,62,76,48,89,39
LinkedList,47,12,90,31,75,49,62,77,46,103,31
LinkedList,48,15,87,37,71,65,49,84,41,108,32
LinkedList,49,14,89,29,74,48,58,61,50,80,39
LinkedList,50,14,88,37,71,54,59,75,45,98,33
LinkedList,51,8,93,28,76,44,63,66,46,87,35
LinkedList,52,12,90,34,73,56,58,75,43,100,31
LinkedList,53,13,88,27,76,55,54,77,41,95,33
LinkedList,54,11,92,37,70,55,57,78,42,101,27
LinkedList,55,10,91,37,66,48,60,64,49,78,41
LinkedList,56,13,89,34,71,51,59,73,44,89,36
LinkedList,57,12,90,37,69,56,57,76,47,93,36
LinkedList,58,11,90,25,77,45,64,59,57,79,45
LinkedList,59,13,88,32,71,40,64,65,46,85,34
LinkedList,60,14,88,34,69,44,64,66,54,92,37
LinkedList,61,7,95,28,76,51,59,69,47,87,40
LinkedList,62,10,91,27,77,39,67,56,56,79,44
LinkedList,63,10,92,30,77,57,55,77,45,99,38
LinkedList,64,6,96,26,79,45,66,74,48,93,33
LinkedList,65,11,90,35,71,55,56,78,42,96,35
LinkedList,66,11,90,30,74,51,59,75,44,89,38
LinkedList,67,16,86,40,66,63,56,86,41,104,31
LinkedList,68,6,95,20,83,37,71,56,56,71,45
LinkedList,69,15,86,34,72,61,52,79,42,102,31
LinkedList,70,8,93,22,79,47,60,61,52,84,41
LinkedList,71,8,93,30,75,44,63,62,51,86,35
LinkedList,72,14,89,37,69,55,56,75,48,100,40
LinkedList,73,9,92,38,68,56,58,81,44,103,32
LinkedList,74,5,96,28,76,49,60,76,44,97,31
LinkedList,75,11,90,28,76,47,63,72,46,94,33
LinkedList,76,11,91,25,78,47,61,66,47,82,37
LinkedList,77,15,86,32,71,47,61,56,55,81,39
LinkedList,78,10,91,36,69,55,54,67,48,96,33
LinkedList,79,9,92,23,80,41,70,67,51,99,35
LinkedList,80,7,94,30,76,46,62,71,48,89,38
LinkedList,81,11,90,37,67,54,54,81,41,104,30
LinkedList,82,13,89,30,74,53,54,67,45,84,39
LinkedList,83,12,89,36,69,52,60,74,47,92,37
LinkedList,84,10,91,23,80,44,60,65,46,87,37
LinkedList,85,6,95,23,80,44,63,66,50,85,39
LinkedList,86,15,87,37,71,56,57,72,48,96,33
LinkedList,87,6,95,22,81,51,61,67,48,88,43
LinkedList,88,4,97,25,79,49,59,66,48,94,35
LinkedList,89,7,94,30,73,57,56,80,40,96,31
LinkedList,90,14,87,31,71,52,58,70,47,89,36
LinkedList,91,12,89,32,72,54,58,76,46,93,41
LinkedList,92,10,91,38,70,60,53,74,45,92,36
LinkedList,93,9,92,33,72,56,55,71,48,85,38
LinkedList,94,10,92,33,73,56,56,84,41,94,33
LinkedList,95,6,95,29,74,48,61,66,49,88,38
LinkedList,96,9,93,31,73,58,55,74,43,96,32
LinkedList,97,9,92,32,69,53,55,72,46,91,39
LinkedList,98,7,94,34,71,51,61,65,51,82,41
LinkedList,99,1,9,2,8,3,7,5,5,7,4
Cuckoo,0,18,708,18,708,18,708,18,708,18,708
Cuckoo,1,9,717,9,717,9,717,9,717,9,717
Cuckoo,2,16,710,16,710,16,710,16,710,16,710
Cuckoo,3,7,719,7,719,7,719,7,719,7,719
Cuckoo,4,15,711,15,711,15,711,15,711,15,711
Cuckoo,5,7,719,7,719,7,719,7,719,7,719
Cuckoo,6,13,713,13,713,13,713,13,713,13,713
Cuckoo,7,13,713,13,713,13,713,13,713,13,713
Cuckoo,8,13,713,13,713,13,713,13,713,13,713
Cuckoo,9,11,715,11,715,11,715,11,715,11,715
Cuckoo,10,9,717,9,717,9,717,9,717,9,717
Cuckoo,11,7,719,7,719,7,719,7,719,7,719
Cuckoo,12,6,720,6,720,6,720,6,720,6,720
Cuckoo,13,7,719,7,719,7,719,7,719,7,719
Cuckoo,14,6,720,6,720,6,720,6,720,6,720
Cuckoo,15,6,720,6,720,6,720,6,720,6,720
Cuckoo,16,11,715,11,715,11,715,11,715,11,715
Cuckoo,17,7,719,7,719,7,719,7,719,7,719
Cuckoo,18,8,718,8,718,8,718,8,718,8,718
Cuckoo,19,8,718,8,718,8,718,8,718,8,718
Cuckoo,20,6,720,6,720,6,720,6,720,6,720
Cuckoo,21,12,714,12,714,12,714,12,714,12,714
Cuckoo,22,10,716,10,716,10,716,10,716,10,716
Cuckoo,23,6,720,6,720,6,720,6,720,6,720
Cuckoo,24,6,720,6,720,6,720,6,720,6,720
Cuckoo,25,4,722,4,722,4,722,4,722,4,722
Cuckoo,26,3,723,3,723,3,723,3,723,3,723
Cuckoo,27,4,722,4,722,4,722,4,722,4,722
Cuckoo,28,5,721,5,721,5,721,5,721,5,721
Cuckoo,29,5,721,5,721,5,721,5,721,5,721
Cuckoo,30,3,723,3,723,3,723,3,723,3,723
Cuckoo,31,5,721,5,721,5,721,5,721,5,721
Cuckoo,32,1,725,1,725,1,725,1,725,1,725
Cuckoo,33,4,722,4,722,4,722,4,722,4,722
Cuckoo,34,1,725,1,725,1,725,1,725,1,725
Cuckoo,35,9,717,9,717,9,717,9,717,9,717
Cuckoo,36,3,723,3,723,3,723,3,723,3,723
Cuckoo,37,3,723,3,723,3,723,3,723,3,723
Cuckoo,38,4,722,4,722,4,722,4,722,4,722
Cuckoo,39,4,722,4,722,4,722,4,722,4,722
Cuckoo,40,6,720,6,720,6,720,6,720,6,720
Cuckoo,41,6,720,6,720,6,720,6,720,6,720
Cuckoo,42,5,721,5,721,5,721,5,721,5,721
Cuckoo,43,7,719,7,719,7,719,7,719,7,719
Cuckoo,44,7,719,7,719,7,719,7,719,7,719
Cuckoo,45,6,720,6,720,6,720,6,720,6,720
Cuckoo,46,5,721,5,721,5,721,5,721,5,721
Cuckoo,47,10,716,10,716,10,716,10,716,10,716
Cuckoo,48,8,718,8,718,8,718,8,718,8,718
Cuckoo,49,6,720,6,720,6,720,6,720,6,720
Cuckoo,50,6,720,6,720,6,720,6,720,6,720
Cuckoo,51,11,715,11,715,11,715,11,715,11,715
Cuckoo,52,6,720,6,720,6,720,6,720,6,720
Cuckoo,53,10,716,10,716,10,716,10,716,10,716
Cuckoo,54,7,719,7,719,7,719,7,719,7,719
Cuckoo,55,10,716,10,716,10,716,10,716,10,716
Cuckoo,56,10,716,10,716,10,716,10,716,10,716
Cuckoo,57,12,714,12,714,12,714,12,714,12,714
Cuckoo,58,10,716,10,716,10,716,10,716,10,716
Cuckoo,59,10,716,10,716,10,716,10,716,10,716
Cuckoo,60,11,715,11,715,11,715,11,715,11,715
Cuckoo,61,12,714,12,714,12,714,12,714,12,714
Cuckoo,62,13,713,13,713,13,713,13,713,13,713
Cuckoo,63,18,708,18,708,18,708,18,708,18,708
Cuckoo,64,10,716,10,716,10,716,10,716,10,716
Cuckoo,65,7,719,7,719,7,719,7,719,7,719
Cuckoo,66,12,714,12,714,12,714,12,714,12,714
Cuckoo,67,9,717,9,717,9,717,9,717,9,717
Cuckoo,68,7,719,7,719,7,719,7,719,7,719
Cuckoo,69,15,711,15,711,15,711,15,711,15,711
Cuckoo,70,11,715,11,715,11,715,11,715,11,715
Cuckoo,71,14,712,14,712,14,712,14,712,14,712
Cuckoo,72,13,713,13,713,13,713,13,713,13,713
Cuckoo,73,16,710,16,710,16,710,16,710,16,710
Cuckoo,74,20,706,20,706,20,706,20,706,20,706
Cuckoo,75,16,710,16,710,16,710,16,710,16,710
Cuckoo,76,12,714,12,714,12,714,12,714,12,714
Cuckoo,77,14,712,14,712,14,712,14,712,14,712
Cuckoo,78,11,715,11,715,11,715,11,715,11,715
Cuckoo,79,17,709,17,709,17,709,17,709,17,709
Cuckoo,80,11,715,11,715,11,715,11,715,11,715
Cuckoo,81,18,708,18,708,18,708,18,708,18,708
Cuckoo,82,22,704,22,704,22,704,22,704,22,704
Cuckoo,83,9,717,9,717,9,717,9,717,9,717
Cuckoo,84,13,713,13,713,13,713,13,713,13,713
Cuckoo,85,15,711,15,711,15,711,15,711,15,711
Cuckoo,86,11,715,11,715,11,715,11,715,11,715
Cuckoo,87,14,712,14,712,14,712,14,712,14,712
Cuckoo,88,22,704,22,704,22,704,22,704,22,704
Cuckoo,89,16,710,16,710,16,710,16,710,16,710
Cuckoo,90,17,709,17,709,17,709,17,709,17,709
Cuckoo,91,18,708,18,708,18,708,18,708,18,708
Cuckoo,92,11,715,11,715,11,715,11,715,11,715
Cuckoo,93,10,716,10,716,10,716,10,716,10,716
Cuckoo,94,18,708,18,708,18,708,18,708,18,708
Cuckoo,95,13,713,13,713,13,713,13,713,13,713
Cuckoo,96,16,710,16,710,16,710,16,710,16,710
Cuckoo,97,17,709,17,709,17,709,17,709,17,709
Cuckoo,98,11,715,11,715,11,715,11,715,11,715
Cuckoo,99,9,575,9,575,9,575,9,575,9,575
